algorithm,fid,dim,max_iter,fes,seed,fbest,secs
GWO,1,30,500,15030,49,2128161770.524195,1.0647664070129395
GWO,1,30,500,15030,50,2812507266.855715,1.0525145530700684
GWO,1,30,500,15030,51,3991299857.653054,1.0641059875488281
GWO,1,30,500,15030,52,2426846001.33597,1.0609245300292969
GWO,1,30,500,15030,53,2514004495.540043,1.063586950302124
GWO,1,30,500,15030,54,365758725.7183963,1.0583722591400146
GWO,1,30,500,15030,55,3943794868.440398,1.0665626525878906
GWO,1,30,500,15030,56,629090083.8405876,1.043724775314331
GWO,1,30,500,15030,57,3740564483.604898,1.0456371307373047
GWO,1,30,500,15030,58,2461408388.2480493,1.0979008674621582
GWO,1,30,500,15030,59,3062875766.486634,1.0885875225067139
GWO,1,30,500,15030,60,2406758605.0691385,1.1243953704833984
GWO,1,30,500,15030,61,249169375.82972342,1.1180148124694824
GWO,1,30,500,15030,62,5859792531.412195,1.1032145023345947
GWO,1,30,500,15030,63,2158260874.8550825,1.1893339157104492
GWO,1,30,500,15030,64,1422816290.7274237,1.1052424907684326
GWO,1,30,500,15030,65,6310475521.594211,1.1232824325561523
GWO,1,30,500,15030,66,531671695.51253486,1.3081939220428467
GWO,1,30,500,15030,67,2220975617.5515566,1.1804285049438477
GWO,1,30,500,15030,68,1808038901.1750712,1.3377420902252197
GWO,1,30,500,15030,69,1669240835.5464375,1.0453472137451172
GWO,1,30,500,15030,70,1761751854.0462327,1.3587682247161865
GWO,1,30,500,15030,71,2691280950.6931753,1.1208064556121826
WOA,1,30,500,15030,42,48740684.37369533,0.7393398284912109
WOA,1,30,500,15030,43,485638044.86730254,0.8513715267181396
WOA,1,30,500,15030,44,39486700.514773354,0.9549956321716309
WOA,1,30,500,15030,45,218513443.60049653,1.0215239524841309
WOA,1,30,500,15030,46,177299234.57604855,0.8953309059143066
WOA,1,30,500,15030,47,285857339.66078776,0.7550754547119141
WOA,1,30,500,15030,48,1597446714.7756186,0.6182577610015869
WOA,1,30,500,15030,49,427826123.2924096,0.7670977115631104
WOA,1,30,500,15030,50,565919566.2899717,1.081305742263794
WOA,1,30,500,15030,51,197495839.11302125,0.8139574527740479
WOA,1,30,500,15030,52,103458668.91739982,0.8446602821350098
WOA,1,30,500,15030,53,561580393.6759356,0.7138717174530029
WOA,1,30,500,15030,54,70105110.87738,0.826106071472168
WOA,1,30,500,15030,55,505984854.24605525,0.8033907413482666
WOA,1,30,500,15030,56,73456501.86563447,0.8159167766571045
WOA,1,30,500,15030,57,189763337.08931556,0.8296008110046387
WOA,1,30,500,15030,58,89094366.75177906,0.797633171081543
WOA,1,30,500,15030,59,443744503.4352948,0.7931797504425049
